Date,Product,Sales,Type,Lower_Bound,Upper_Bound
2020-01-01,Product A,296,Actual,296,296
2020-01-02,Product A,293,Actual,293,293
2020-01-03,Product A,293,Actual,293,293
2020-01-04,Product A,280,Actual,280,280
2020-01-05,Product A,289,Actual,289,289
2020-01-06,Product A,302,Actual,302,302
2020-01-07,Product A,316,Actual,316,316
2020-01-08,Product A,317,Actual,317,317
2020-01-09,Product A,299,Actual,299,299
2020-01-10,Product A,297,Actual,297,297
2020-01-11,Product A,304,Actual,304,304
2020-01-12,Product A,285,Actual,285,285
2020-01-13,Product A,302,Actual,302,302
2020-01-14,Product A,325,Actual,325,325
2020-01-15,Product A,315,Actual,315,315
2020-01-16,Product A,301,Actual,301,301
2020-01-17,Product A,299,Actual,299,299
2020-01-18,Product A,309,Actual,309,309
2020-01-19,Product A,302,Actual,302,302
2020-01-20,Product A,326,Actual,326,326
2020-01-21,Product A,305,Actual,305,305
2020-01-22,Product A,320,Actual,320,320
2020-01-23,Product A,310,Actual,310,310
2020-01-24,Product A,308,Actual,308,308
2020-01-25,Product A,300,Actual,300,300
2020-01-26,Product A,302,Actual,302,302
2020-01-27,Product A,299,Actual,299,299
2020-01-28,Product A,337,Actual,337,337
2020-01-29,Product A,331,Actual,331,331
2020-01-30,Product A,315,Actual,315,315
2020-01-31,Product A,327,Actual,327,327
2020-02-01,Product A,302,Actual,302,302
2020-02-02,Product A,306,Actual,306,306
2020-02-03,Product A,306,Actual,306,306
2020-02-04,Product A,337,Actual,337,337
2020-02-05,Product A,350,Actual,350,350
2020-02-06,Product A,331,Actual,331,331
2020-02-07,Product A,318,Actual,318,318
2020-02-08,Product A,314,Actual,314,314
2020-02-09,Product A,332,Actual,332,332
2020-02-10,Product A,320,Actual,320,320
2020-02-11,Product A,336,Actual,336,336
2020-02-12,Product A,360,Actual,360,360
2020-02-13,Product A,323,Actual,323,323
2020-02-14,Product A,315,Actual,315,315
2020-02-15,Product A,301,Actual,301,301
2020-02-16,Product A,312,Actual,312,312
2020-02-17,Product A,336,Actual,336,336
2020-02-18,Product A,337,Actual,337,337
2020-02-19,Product A,369,Actual,369,369
2020-02-20,Product A,340,Actual,340,340
2020-02-21,Product A,314,Actual,314,314
2020-02-22,Product A,313,Actual,313,313
2020-02-23,Product A,331,Actual,331,331
2020-02-24,Product A,329,Actual,329,329
2020-02-25,Product A,350,Actual,350,350
2020-02-26,Product A,351,Actual,351,351
2020-02-27,Product A,332,Actual,332,332
2020-02-28,Product A,311,Actual,311,311
2020-02-29,Product A,321,Actual,321,321
2020-03-01,Product A,340,Actual,340,340
2020-03-02,Product A,343,Actual,343,343
2020-03-03,Product A,347,Actual,347,347
2020-03-04,Product A,359,Actual,359,359
2020-03-05,Product A,348,Actual,348,348
2020-03-06,Product A,324,Actual,324,324
2020-03-07,Product A,339,Actual,339,339
2020-03-08,Product A,338,Actual,338,338
2020-03-09,Product A,352,Actual,352,352
2020-03-10,Product A,363,Actual,363,363
2020-03-11,Product A,355,Actual,355,355
2020-03-12,Product A,338,Actual,338,338
2020-03-13,Product A,345,Actual,345,345
2020-03-14,Product A,336,Actual,336,336
2020-03-15,Product A,334,Actual,334,334
2020-03-16,Product A,350,Actual,350,350
2020-03-17,Product A,361,Actual,361,361
2020-03-18,Product A,369,Actual,369,369
2020-03-19,Product A,352,Actual,352,352
2020-03-20,Product A,335,Actual,335,335
2020-03-21,Product A,323,Actual,323,323
2020-03-22,Product A,335,Actual,335,335
2020-03-23,Product A,341,Actual,341,341
2020-03-24,Product A,362,Actual,362,362
2020-03-25,Product A,359,Actual,359,359
2020-03-26,Product A,343,Actual,343,343
2020-03-27,Product A,320,Actual,320,320
2020-03-28,Product A,323,Actual,323,323
2020-03-29,Product A,334,Actual,334,334
2020-03-30,Product A,338,Actual,338,338
2020-03-31,Product A,353,Actual,353,353
2020-04-01,Product A,379,Actual,379,379
2020-04-02,Product A,357,Actual,357,357
2020-04-03,Product A,342,Actual,342,342
2020-04-04,Product A,342,Actual,342,342
2020-04-05,Product A,333,Actual,333,333
2020-04-06,Product A,338,Actual,338,338
2020-04-07,Product A,358,Actual,358,358
2020-04-08,Product A,363,Actual,363,363
2020-04-09,Product A,354,Actual,354,354
2020-04-10,Product A,349,Actual,349,349
2020-04-11,Product A,353,Actual,353,353
2020-04-12,Product A,331,Actual,331,331
2020-04-13,Product A,339,Actual,339,339
2020-04-14,Product A,346,Actual,346,346
2020-04-15,Product A,361,Actual,361,361
2020-04-16,Product A,365,Actual,365,365
2020-04-17,Product A,348,Actual,348,348
2020-04-18,Product A,326,Actual,326,326
2020-04-19,Product A,344,Actual,344,344
2020-04-20,Product A,353,Actual,353,353
2020-04-21,Product A,375,Actual,375,375
2020-04-22,Product A,363,Actual,363,363
2020-04-23,Product A,350,Actual,350,350
2020-04-24,Product A,357,Actual,357,357
2020-04-25,Product A,342,Actual,342,342
2020-04-26,Product A,329,Actual,329,329
2020-04-27,Product A,380,Actual,380,380
2020-04-28,Product A,369,Actual,369,369
2020-04-29,Product A,380,Actual,380,380
2020-04-30,Product A,351,Actual,351,351
2020-05-01,Product A,326,Actual,326,326
2020-05-02,Product A,352,Actual,352,352
2020-05-03,Product A,344,Actual,344,344
2020-05-04,Product A,359,Actual,359,359
2020-05-05,Product A,366,Actual,366,366
2020-05-06,Product A,365,Actual,365,365
2020-05-07,Product A,347,Actual,347,347
2020-05-08,Product A,343,Actual,343,343
2020-05-09,Product A,326,Actual,326,326
2020-05-10,Product A,351,Actual,351,351
2020-05-11,Product A,359,Actual,359,359
2020-05-12,Product A,363,Actual,363,363
2020-05-13,Product A,386,Actual,386,386
2020-05-14,Product A,357,Actual,357,357
2020-05-15,Product A,352,Actual,352,352
2020-05-16,Product A,332,Actual,332,332
2020-05-17,Product A,340,Actual,340,340
2020-05-18,Product A,356,Actual,356,356
2020-05-19,Product A,341,Actual,341,341
2020-05-20,Product A,367,Actual,367,367
2020-05-21,Product A,336,Actual,336,336
2020-05-22,Product A,344,Actual,344,344
2020-05-23,Product A,328,Actual,328,328
2020-05-24,Product A,350,Actual,350,350
2020-05-25,Product A,342,Actual,342,342
2020-05-26,Product A,348,Actual,348,348
2020-05-27,Product A,345,Actual,345,345
2020-05-28,Product A,362,Actual,362,362
2020-05-29,Product A,350,Actual,350,350
2020-05-30,Product A,344,Actual,344,344
2020-05-31,Product A,331,Actual,331,331
2020-06-01,Product A,341,Actual,341,341
2020-06-02,Product A,369,Actual,369,369
2020-06-03,Product A,358,Actual,358,358
2020-06-04,Product A,355,Actual,355,355
2020-06-05,Product A,337,Actual,337,337
2020-06-06,Product A,334,Actual,334,334
2020-06-07,Product A,320,Actual,320,320
2020-06-08,Product A,353,Actual,353,353
2020-06-09,Product A,343,Actual,343,343
2020-06-10,Product A,379,Actual,379,379
2020-06-11,Product A,351,Actual,351,351
2020-06-12,Product A,310,Actual,310,310
2020-06-13,Product A,336,Actual,336,336
2020-06-14,Product A,323,Actual,323,323
2020-06-15,Product A,332,Actual,332,332
2020-06-16,Product A,359,Actual,359,359
2020-06-17,Product A,368,Actual,368,368
2020-06-18,Product A,347,Actual,347,347
2020-06-19,Product A,340,Actual,340,340
2020-06-20,Product A,325,Actual,325,325
2020-06-21,Product A,333,Actual,333,333
2020-06-22,Product A,351,Actual,351,351
2020-06-23,Product A,346,Actual,346,346
2020-06-24,Product A,345,Actual,345,345
2020-06-25,Product A,358,Actual,358,358
2020-06-26,Product A,309,Actual,309,309
2020-06-27,Product A,321,Actual,321,321
2020-06-28,Product A,335,Actual,335,335
2020-06-29,Product A,343,Actual,343,343
2020-06-30,Product A,339,Actual,339,339
2020-07-01,Product A,353,Actual,353,353
2020-07-02,Product A,324,Actual,324,324
